name,city,address,region,is_active,latitude,longitude,source_url,banki_office_id
Сбербанк — Дополнительный офис №8646/0337,Артемовск,"Красноярский край, Курагинский р-н, г Артемовск, ул Ленина, д 17",Красноярский край,true,54.352357,93.43576,https://www.banki.ru/banks/bank/sberbank/branches/krasnoyarskiy_kray/artemovsk/,13291210
Сбербанк — Дополнительный офис №8646/0208,Ачинск,"Красноярский край, Ачинский р-н, г Ачинск, мкр 3-й, стр 39",Красноярский край,true,56.258314,90.487687,https://www.banki.ru/banks/bank/sberbank/branches/krasnoyarskiy_kray/achinsk/,13390405
Сбербанк — Дополнительный офис №8646/0504,Байкит,"Красноярский край, Эвенкийский р-н, с Байкит, ул Гагарина, зд 10А",Красноярский край,true,61.67854,96.39058,https://www.banki.ru/banks/bank/sberbank/branches/krasnoyarskiy_kray/baykit/,13291258
Сбербанк — Дополнительный офис №8646/0630,Балахта,"Красноярский край, пгт Балахта, ул Сурикова, зд 23",Красноярский край,true,55.378917,91.614427,https://www.banki.ru/banks/bank/sberbank/branches/krasnoyarskiy_kray/balahta/,13291288
Сбербанк — Дополнительный офис №8646/0329,Беллык,"Красноярский край, Краснотуранский р-н, с Беллык, ул Ленина, д 33",Красноярский край,true,54.549059,91.336497,https://www.banki.ru/banks/bank/sberbank/branches/krasnoyarskiy_kray/bellyik/,13291204
Сбербанк — Дополнительный офис №8646/067,Березовка,"Красноярский край, пгт Березовка, ул Центральная, зд 7",Красноярский край,true,56.043688,93.126369,https://www.banki.ru/banks/bank/sberbank/branches/krasnoyarskiy_kray/berezovka/,13291294
Сбербанк — Дополнительный офис №8646/0433,Богучаны,"Красноярский край, с Богучаны, пер Лазо, д 7 литера а",Красноярский край,true,58.384209,97.471628,https://www.banki.ru/banks/bank/sberbank/branches/krasnoyarskiy_kray/boguchanyi/,13291237
Сбербанк — Дополнительный офис №8646/0302,Большая Иня,"Красноярский край, Минусинский р-н, с Большая Иня, ул Ленина, д 4",Красноярский край,true,53.770387,92.115388,https://www.banki.ru/banks/bank/sberbank/branches/krasnoyarskiy_kray/bol~sshaya_inya/,13291190
Сбербанк — Дополнительный офис №8646/0344,Большая Ирба,"Красноярский край, Курагинский р-н, пгт Большая Ирба, ул Ленина, д 5",Красноярский край,true,54.076344,92.933734,https://www.banki.ru/banks/bank/sberbank/branches/krasnoyarskiy_kray/bol~sshaya_irba/,13291212
Сбербанк — Дополнительный офис №8646/0507,Большая Мурта,"Красноярский край, пгт Большая Мурта, ул Партизанская, д 110",Красноярский край,true,56.91056,93.14033,https://www.banki.ru/banks/bank/sberbank/branches/krasnoyarskiy_kray/bol~sshaya_murta/,13291261
Сбербанк — Дополнительный офис №8646/0420,Большая Уря,"Красноярский край, Канский р-н, с Большая Уря, ул 9-я Пятилетка, д 9",Красноярский край,true,56.023655,95.480661,https://www.banki.ru/banks/bank/sberbank/branches/krasnoyarskiy_kray/bol~sshaya_urya/,13291227
Сбербанк — Дополнительный офис №8646/0223,Большой Улуй,"Красноярский край, с Большой Улуй, ул Советская, зд 138",Красноярский край,true,56.655885,90.568925,https://www.banki.ru/banks/bank/sberbank/branches/krasnoyarskiy_kray/bol~sshoy_uluy/,13291182
Сбербанк — Дополнительный офис №8646/0521,Бор,"Красноярский край, Туруханский р-н, п Бор, ул Кирова, д 94",Красноярский край,true,61.594069,90.041395,https://www.banki.ru/banks/bank/sberbank/branches/krasnoyarskiy_kray/bor/,13291268
